field_id,tier,block,unit,direction,source,source_access,licence,licence_tier,refresh,derived_from,indicator_code,notes
iso3,0,backbone,code,-,ISO 3166-1 alpha-3,static,public,open,static,,,join key across every block
year,0,backbone,year,-,calendar,static,public,open,static,,,reference year for the cross-section
gdp_pc_ppp,0,macro,current intl dollar,up,World Bank WDI,REST API no key,CC BY 4.0,open,annual,,NY.GDP.PCAP.PP.CD,rough proxy for market depth and wage ceiling
ppp_conv_factor,0,macro,LCU per intl dollar,-,World Bank WDI,REST api.worldbank.org/v2,CC BY 4.0,open,annual,,PA.NUS.PRVT.PP,kappa = PA.NUS.PPP / PA.NUS.FCRF gives a free price-level index. PA.NUS.PPPC.RF is 404 - do not use
gross_cap_income_return,0,finance,percent p.a.,up,JST Macrohistory R6,xlsx/stata bulk,CC BY-NC-SA - research only,blocked_commercial,irregular,,,R6 = 18 countries 1870-2020 incl. housing_tr. NO rgdppc (use rgdpmad); NO mortg (use tmort)
cap_income_tax_effective,0,tax,percent,down,OECD Tax Database + national law,portal + hand-curated,public,open,annual,,,effective rate on the USER'S asset mix not the headline top rate
gov_debt_gdp,0,macro,percent of GDP,down,World Bank WDI / IMF WEO,REST API,CC BY 4.0,open,annual,,GC.DOD.TOTL.GD.ZS,fiscal capacity input
old_age_dependency_2050,0,demography,ratio,down,UN WPP 2024,API + bulk CSV,CC BY 3.0 IGO,open,per revision,,,aging pressure on the social system
median_age,0,demography,years,-,UN WPP 2024,API + bulk CSV,CC BY 3.0 IGO,open,per revision,,,societal age structure
climate_risk_score,0,climate,index 0-100,down,ND-GAIN Country Index,bulk CSV,free for non-commercial,blocked_commercial,annual,,,composite vulnerability and readiness
nature_score,0,nature,index 0-100,up,composite,derived,varies,verify,annual,,,see nature_* component fields below
median_fixed_down_mbps,0,infrastructure,Mbit/s,up,Ookla Open Data,AWS S3 (public parquet),CC BY-NC-SA - COMMERCIAL BLOCKER,blocked_commercial,quarterly,,,verified: public S3 quarterly parquet; no free commercial substitute for measured broadband
real_10y_yield,1,macro,percent p.a.,up,BIS + national debt agencies,API / CSV,public,open,monthly,,,nominal 10y minus breakeven inflation
sovereign_spread,1,macro,basis points,down,market-implied proxy,FRED fredgraph.csv (no key),public per series,open,daily,,,NO free ratings feed and NO FRED EMBI series. Proxy = IRLTLT01{ISO3}M156N spread vs US + CPIA IQ.CPA.DEBT.XQ
fx_vol_5y,1,finance,percent p.a.,down,OWN WAREHOUSE,derived,internal,verify,daily,,,reuse marts.fct_macro_series_transforms
inflation_vol_10y,1,macro,percent,down,World Bank WDI,REST API,CC BY 4.0,open,annual,,FP.CPI.TOTL.ZG,macro stability
terms_of_trade_trend,1,macro,index change,up,UNCTAD / World Bank,API,CC BY 4.0,open,quarterly,,,external balance trajectory
cap_gains_rate,1,tax,percent,down,national law,hand-curated,public,open,annual,,,"listed securities, long-term resident individual. CZ exempt after 3y holding (5y corporate shares) - CZK 40m value test repealed 1 Jan 2026 by Act 360/2025; no holding-period relief in DE"
dividend_rate,1,tax,percent,down,national law + treaties,hand-curated,public,open,annual,,,headline plus effective combined
wealth_tax_rate,1,tax,percent p.a.,down,national law,hand-curated,public,open,annual,,,zero if none; note threshold
inherit_tax_rate,1,tax,percent,down,national law,hand-curated,public,open,annual,,,"non-descendant beneficiary. CZ = 0 for ALL beneficiaries (ZDP s4a(1)(a), exempt since 1 Jan 2014); CH 0-50pct by canton; IE Group C EUR 20k at 33pct; JP 20pct surcharge for non-descendants"
